Composite.Element.REF	TCGA-ND-A4WA-01	TCGA-NG-A4VU-01	TCGA-NG-A4VW-01	TCGA-QN-A5NN-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PQ-01	TCGA-N8-A56S-01	TCGA-N8-A4PO-01	TCGA-N8-A4PN-01	TCGA-N8-A4PM-01	TCGA-N8-A4PP-01	TCGA-N5-A4RV-01	TCGA-NA-A4QW-01	TCGA-NA-A4R1-01	TCGA-NA-A4QX-01	TCGA-N7-A59B-01	TCGA-N7-A4Y8-01	TCGA-N7-A4Y5-01	TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4VD-01	TCGA-N6-A4VC-01	TCGA-N6-A4VE-01	TCGA-N6-A4V9-01	TCGA-NF-A4X2-01	TCGA-NF-A5CP-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q3-01	TCGA-N9-A4Q1-01	TCGA-N9-A4PZ-01	TCGA-NA-A4R0-01	TCGA-NA-A4QY-01	TCGA-NA-A4QV-01	TCGA-ND-A4WC-01	TCGA-ND-A4WF-01	TCGA-ND-A4W6-01	TCGA-N7-A4Y0-01	TCGA-N9-A4Q4-01
PRKAA1|AMPK_alpha	-0.9103	0.8284	0.8961	-0.5364	-0.0765	-0.1844	-0.3902	-0.0355	-0.5015	-0.3057	-0.8192	0.5583	-1.4204	1.441	-0.1109	1.0711	-1.3098	1.1951	2.1954	0.5933	0.6198	-0.4917	-0.6783	1.5432	0.3127	-0.7048	-1.9391	1.2901	-0.7984	-0.5961	-0.1362	0.1298	-0.4102	-0.498	-0.898	2.1761	-0.318	0.4035	0.2673	-1.4568	1.7928	-0.6112	-0.6714	0.1415	0.7438	-0.4769	-2.2055	1.2924
PRKAA1|AMPK_pT172	0.1451	0.55	-1.0417	1.3052	-1.2382	-1.1837	1.1604	0.6432	-0.7421	0.0871	-1.2286	1.3362	-0.1569	-0.6957	0.4358	0.5153	-0.1004	0.5528	-1.0126	-0.0167	-0.2915	-0.0607	0.1889	1.4088	0.8937	0.9256	-4.1166	0.8839	-0.773	-1.1951	0.4542	0.8713	0.623	-0.6745	0.0426	1.0203	0.2938	-0.1972	0.1114	-1.8543	1.1424	-0.5343	-0.073	0.7336	1.0661	0.3657	-0.7961	0.2265
AR|AR	1.186	1.211	0.8054	0.5019	0.3002	0.2499	0.8416	0.7182	0.3849	-0.0155	1.7278	-1.1276	-0.5322	-0.9206	0.4669	-1.4562	-0.769	0.0825	-0.643	-0.1291	-0.7622	0.3159	0.1673	0.98	0.1936	-0.6996	0.2353	1.2168	0.066	-0.7907	-1.8002	-0.1213	3.0288	-2.0628	0.3378	-1.1487	0.1914	-0.7913	0.2582	2.2478	-0.7643	0.1948	0.325	-1.8953	-0.6023	-0.5437	-0.825	0.1657
ASNS|ASNS	-0.1355	-0.3588	2.0112	-0.6341	0.4606	-0.0384	-0.4858	-0.8461	-0.4035	-0.4194	-0.6703	0.2554	-0.8613	-0.0236	1.4359	-0.7871	-0.8103	-0.3195	1.4591	-0.2693	-0.0535	-0.4935	-1.3971	-0.3115	-1.1751	-0.0796	-1.4806	0.1035	-0.3924	-0.8194	-0.1626	0.9123	0.4583	-0.061	0.2008	-0.3465	0.1407	0.036	-0.0729	3.625	-2.3305	0.3018	0.0982	1.5459	0.9583	-0.4593	2.1252	0.5703
ATM|ATM	1.0379	-0.0358	-3.3189	0.5425	0.1333	-0.4638	-0.1679	0.5569	0.3897	1.0566	-0.325	0.6378	-0.2011	0.6456	-1.0801	0.4541	0.2841	2.1037	-1.2192	0.7642	-1.2745	-0.6119	-0.4956	0.2802	0.8862	-0.0833	-0.6442	0.1432	0.0436	0.5707	0.3003	-0.3623	0.5788	-1.2219	0.1086	0.0055	1.3147	1.1502	0.3185	-3.0862	1.0626	0.3674	-1.196	0.1072	0.3073	0.0239	-1.49	1.1023
BAK1|Bak	1.1211	0.2966	0.7844	0.1598	0.8558	1.2726	-0.8214	-0.8732	0.2182	-0.2647	-0.4034	-0.86	0.0192	-1.5547	0.4213	-1.0511	0.4164	1.6086	-0.5125	-0.3465	0.139	0.4978	-0.4368	2.257	1.5004	-0.6642	0.7257	0.6992	0.2968	0.1283	-2.2694	1.0136	-0.3168	-1.2509	0.7743	-0.8491	-0.5099	-0.9323	0.3269	2.876	-1.8344	-0.4466	-0.6668	-1.3725	-0.5394	-0.1243	0.1882	0.3034
BAX|Bax	-0.5912	-1.1979	2.711	0.1182	1.2405	1.6588	-0.0607	-2.1353	-0.3639	-1.2851	0.3834	0.4847	-1.1579	-1.621	1.94	-1.8133	0.5493	0.6157	-1.2163	-0.8247	-0.4075	0.1892	-0.2724	-0.4643	0.3944	-0.1844	1.2488	0.778	-0.064	0.3827	1.7011	-0.7183	-0.2539	-1.4399	0.6637	-0.3713	-0.8633	0.5407	-0.2513	0.6706	0.7349	-0.4599	0.3889	-0.2601	1.1847	-0.278	0.6392	-0.6627
BCL2|Bcl-2	-0.1746	0.6194	0.6507	-0.5601	-0.5444	-0.473	-0.037	0.6086	3.2905	-0.5704	1.0968	-0.9076	0.9997	-0.5215	-1.0315	-0.831	3.3288	1.1565	-0.1907	-0.415	1.0128	0.8907	-0.7249	0.2864	0.2788	-0.8578	0.1038	-0.1702	0.7828	-0.3531	0.5182	-0.7128	1.8994	-1.402	-0.7454	-0.0311	0.0699	-0.897	-0.1831	-0.7067	-0.145	-0.5837	-0.3288	-1.0761	-0.3219	-0.3759	-1.7278	0.0062
BCL2L1|Bcl-xL	0.695	-0.6684	1.9555	-1.0626	0.633	-0.2129	0.1983	1.1959	-0.1552	-0.5952	0.4165	-0.7716	-1.0156	-0.5894	0.2833	0.3162	-0.3418	-0.1478	0.0078	-0.5226	-0.4981	-0.5941	-0.3025	0.1345	0.4484	0.5652	0.5251	0.0298	0.3925	-0.4946	0.0991	-0.4692	-0.5042	-0.777	-1.0185	-0.4813	-0.9496	-0.8799	0.002	2.0334	-1.2165	0.1305	0.3825	-0.4534	0.2428	-0.4924	4.9665	-0.4397
BECN1|Beclin	1.0625	0.8591	-1.7316	-0.3293	-1.4731	-0.4685	-0.0374	0.6379	-0.9431	-0.0617	-1.1384	-1.0675	-0.042	1.5404	-1.3892	0.3755	-0.8356	0.0768	0.8684	2.6115	-0.0873	0.1253	1.0422	-0.7673	-1.1802	-1.4264	-0.3985	-1.2302	0.5502	2.3984	0.4262	-0.4375	0.8922	0.581	-0.9291	0.5415	-0.3541	0.4114	-0.3163	0.2985	-0.8125	0.0621	0.5829	-0.9106	-0.5396	1.0124	2.2251	-0.2747
CTNNB1|beta-Catenin	-0.2842	-0.0878	-2.8488	-0.4372	0.1658	-0.2034	-0.129	0.3524	1.2194	0.3167	1.2555	-0.2992	-1.2124	0.3565	-0.6643	0.2408	1.2123	-0.2852	0.1266	-0.0019	-1.0739	0.1209	0.384	0.9121	0.9986	0.2513	0.9146	0.3011	0.8488	-0.4739	0.7093	1.0432	1.042	0.4752	-0.3387	0.9289	-0.6026	0.2302	-0.3711	-3.0314	1.6943	-0.6415	-0.5169	1.134	0.582	-1.1546	-2.6469	-0.5118
BID|Bid	-0.9108	-0.137	2.7715	0.4789	0.5471	0.1955	0.906	-0.3038	-0.2125	0.5215	-0.1853	-0.2692	-1.1336	-0.046	0.2407	-0.6958	-0.7528	-0.6341	-0.0953	-0.3287	0.6499	-0.7287	-0.4429	-0.7596	0.3142	-0.3136	-0.3901	-0.7461	0.1165	-0.3497	-0.9005	-0.6203	-0.6091	-0.5405	-0.8521	-0.5971	-0.4462	-1.1026	1.4925	4.5412	0.5624	-0.7787	1.3629	-0.4153	0.1803	0.4135	1.2149	-0.2115
BCL2L11|Bim	1.4377	0.0877	-1.4408	-0.733	0.8136	-1.0392	-0.4721	0.6827	3.0612	-0.6454	0.5168	-0.5903	-0.5438	-0.5632	0.2622	-0.0912	1.8663	0.8892	-0.7235	-0.1631	0.6176	0.6325	-1.3599	-0.0255	2.1402	1.0077	0.4454	1.4932	-0.1301	-0.7408	-0.5214	-0.563	1.0336	-1.1126	0.403	0.5595	1.4085	-1.5844	-0.5927	-1.1402	-0.3329	-0.3022	-0.3982	-0.5227	-1.2025	-0.4687	-1.3881	0.0327
JUN|c-Jun_pS73	0.583	-0.6634	-1.5378	-0.9093	-2.4007	0.3383	-0.9163	-0.0264	0.7189	0.5049	-0.8533	-0.6022	-0.5925	0.6349	0.0483	-0.0036	1.382	0.8263	-1.6191	-0.7767	0.5555	-0.3668	1.3393	0.5533	-0.1082	1.2052	-1.548	-0.2953	0.2625	-0.1877	-1.4289	0.5131	2.617	1.8304	0.4707	1.4441	0.3674	-0.353	-0.065	0.1568	-1.603	1.3011	0.7155	-0.1037	0.4953	-0.0897	-1.4054	-0.4076
KIT|c-Kit	-0.1024	-0.4414	0.823	-0.3077	0.1141	0.0858	-0.9839	-0.1576	3.4749	-0.7793	0.1029	-0.3796	-0.9685	-0.3034	-0.0641	-0.6538	-0.8539	-0.8949	-0.4531	0.2203	-0.1838	-0.2883	-0.4861	1.6079	-0.5198	0.1346	2.7092	1.3312	-0.5062	-0.7723	-0.1539	0.5591	2.0374	0.9349	-0.4165	-0.6994	-0.4581	0.0046	-0.0979	2.4217	-1.1338	-0.7872	0.3925	-0.7329	-0.1806	-0.2245	-0.9131	-1.0557
MET|c-Met_pY1235	-0.0038	-0.9813	3.4502	0.6238	0.8015	0.6544	0.2865	-0.1375	-0.3231	0.0995	-0.4597	-0.3724	0.2504	-0.9011	0.2311	-0.9254	-0.7079	-0.0955	-0.396	-0.4063	0.2226	-0.4798	-0.6714	-0.3472	0.3882	-0.1613	0.142	-0.5286	0.0621	-0.441	-0.8764	0.0334	-0.2999	-0.8284	0.4128	-1.3199	-0.3654	-0.8043	0.8147	4.6589	-0.3411	-0.7012	0.6729	-0.8867	0.0129	0.2443	0.6712	0.0293
MYC|c-Myc	-1.0671	-0.6133	2.5875	0.6512	0.4044	0.5153	1.0963	0.4137	-0.2624	0.6223	-0.0541	-0.6186	-0.4354	-0.6176	0.1091	-0.5263	-1.3723	-0.266	-1.403	-0.124	0.5981	-0.5002	0.4791	-0.6095	0.1005	0.1378	-0.7185	-0.8171	0.4788	0.2989	-0.9761	-1.0284	-0.4205	0.2483	-0.1532	-1.4303	-0.1974	-1.5714	0.6797	3.9063	-0.1858	0.1682	1.4961	-1.1668	-0.2965	0.2661	1.5623	0.612
RAF1|C-Raf	-0.5534	0.0257	-0.5896	1.4816	-0.6626	0.0429	1.0356	-0.7873	-1.1756	0.5977	-0.028	1.0223	1.0442	-0.7663	1.8245	0.8744	-1.2244	0.7516	-0.1261	0.5639	0.0906	-1.3289	-1.2606	2.3747	0.6119	-0.7325	-0.5435	0.0784	1.4225	0.1982	-1.1822	-0.8823	-0.2092	-1.2503	2.0621	-0.7554	-0.4754	0.2807	-0.7232	1.5104	0.5656	-1.5025	-0.6064	-1.1037	1.6166	0.0008	-0.833	-0.774
RAF1|C-Raf_pS338	-0.7545	-0.7871	3.5229	0.5303	0.056	0.3927	0.9974	-0.1535	-0.2266	0.7182	-1.0114	-0.0178	-0.3569	-0.0261	0.3044	-0.2375	-0.8883	-0.472	-0.4528	-0.4531	0.7005	-0.915	-0.632	-0.3773	0.1749	-0.4029	-0.4316	-0.7697	0.5787	-0.4129	-0.3381	-0.5392	-0.0919	0.27	0.2109	-0.5025	-0.8441	0.2609	0.8486	4.6079	-1.2458	-0.4949	0.6254	-0.5099	-0.1381	0.1524	0.0736	-0.5421
CASP7|Caspase-7_cleavedD198	-0.5573	-0.7494	1.277	-0.2346	-0.1474	-0.484	-0.0043	-0.6152	-0.113	-0.5838	-0.4785	1.2738	-0.1256	-0.5313	-0.2195	-1.1106	1.7203	-1.1086	-0.9342	-1.0034	-0.3693	-0.5737	-0.4897	-0.6386	0.2723	0.1594	-0.6823	-0.5115	-0.5705	-0.0883	-0.3519	1.9091	-0.2662	-0.8261	-0.0475	0.5175	4.3997	-0.4301	0.276	1.0436	-0.4755	-0.7689	1.4979	1.7284	0.0633	0.051	0.6999	-0.7981
CAV1|Caveolin-1	0.0207	0.2188	-0.4929	0.5629	1.6356	-1.7396	-0.7762	-0.4512	2.9312	-0.2911	2.1202	0.2536	-0.7132	-0.5391	0.0075	0.5977	0.3817	-0.8151	0.5771	-0.4965	-0.9476	-0.3177	-0.2923	-0.6064	0.9381	1.0736	1.6917	-0.2839	-0.925	-1.0877	-0.8283	0.2379	0.192	-0.9447	0.0174	-0.1011	1.5727	-0.3388	-0.2999	-2.2197	1.8022	-0.4037	0.4858	-0.6059	0.004	1.1279	-1.2781	-0.655
PECAM1|CD31	0.6191	-0.5131	1.8553	0.0156	1.0118	0.0263	-0.1894	-0.0448	0.274	-0.2728	0.0086	0.1051	0.5274	-0.3206	-0.2765	-0.4479	0.0059	0.0462	-0.1002	0.0126	-0.0444	-0.0415	-0.1754	-0.0899	0.1749	-0.0046	0.1704	-0.0345	-0.0791	0.0052	0.0138	0.39	0.1658	-0.4799	0.4981	0.1415	0.3801	-0.1554	0.2053	1.6443	-6.1309	0.1923	0.5887	-0.037	-0.167	0.5151	0.1632	-0.1516
ITGA2|CD49b	0.3026	-1.3415	3.2909	-0.4124	0.6968	0.2851	-0.6462	-0.0732	0.1618	-0.7177	-0.3339	-0.981	-0.0149	-0.8026	-0.5525	-0.9539	0.2184	-0.501	-0.6779	-0.4675	-0.7492	-0.6026	0.1041	0.1428	-0.3626	-0.0723	1.1065	-0.2754	-0.2441	-0.7201	0.7807	0.3523	0.8758	2.1133	-0.3504	-0.1783	0.2512	-0.7148	0.0717	2.5515	-2.6452	-0.2844	0.655	2.2002	-0.176	-0.5244	0.7434	-0.5283
CDK1|CDK1	0.955	-0.1541	1.3175	0.0218	0.1081	0.5118	-0.8439	-0.079	0.5	-0.155	0.6341	0.4872	0.194	-1.1483	0.5305	-0.7641	0.9549	0.4766	-0.9463	-0.4907	-0.3811	-0.12	-0.3677	-0.1044	0.1945	0.6983	-0.0789	-0.0125	-0.3982	-0.0295	-0.1671	1.0825	0.1524	-0.4732	0.7755	0.6135	-0.1671	-0.0027	0.2815	1.9824	-5.569	-0.0377	0.2801	-0.085	0.261	0.2071	-0.167	-0.4776
CHEK1|Chk1	0.1024	-0.0738	-2.008	-0.0654	-0.2887	0.9982	-0.0011	0.5974	0.4276	0.8844	0.2842	-0.2775	1.2875	-0.65	1.1764	-0.3066	0.1603	1.2718	-1.0068	0.475	-0.7441	-0.805	-1.0145	-0.0955	1.7395	-0.4432	0.0874	1.5422	-1.1881	-0.1216	-1.0116	1.031	2.1539	-1.5944	0.4681	0.0642	-0.1064	0.7742	-0.4875	-1.0971	-2.8038	-0.0663	-1.6508	0.8822	0.2082	0.0487	-0.3642	1.6071
CHEK1|Chk1_pS345	-0.3051	1.3425	-2.3389	0.0217	-1.0357	-0.5609	-1.0311	1.0048	-1.0154	1.1714	-0.4186	-0.9002	-0.7781	0.8748	0.2413	1.0896	0.0044	1.294	-0.2204	0.9581	-1.6485	1.1551	0.5997	0.5995	0.2746	-0.8894	-1.2397	0.1622	1.2605	-0.4416	-1.2141	-0.5012	1.0415	-0.9454	0.4477	0.0113	-0.1576	-0.2779	-0.0095	2.4488	-0.7348	-0.5843	-0.969	-0.5621	-0.3622	0.0047	2.6536	0.48
CHEK2|Chk2	0.8697	0.9359	-1.7736	-0.3918	-0.9367	-0.7619	0.4305	1.3302	-0.3666	0.3064	-0.7644	1.7288	-0.0337	0.0102	-0.0068	-0.6163	1.4212	2.5076	0.0167	0.8419	0.3454	-0.2184	1.2653	0.6197	-0.4253	0.5146	-1.6988	1.0241	-0.7179	2.0984	0.5631	0.348	-0.6743	-1.7577	-0.3321	-0.5232	-0.4532	0.7065	-0.6572	-1.3028	-1.1766	0.051	-1.9036	-1.1279	0.3696	1.0445	-0.2421	-0.4863
CHEK2|Chk2_pT68	-0.6647	-0.3371	2.6016	0.336	0.1385	0.081	0.4666	0.3577	-0.2433	0.228	-0.4737	0.752	-0.2227	-0.4449	0.7174	-0.7758	-0.0854	0.428	-0.576	-0.2022	0.3729	-0.782	-0.0394	-0.3359	0.1054	-0.1877	-0.3979	-0.5568	0.4002	0.4489	-0.729	-0.0492	-0.5836	-0.7758	-0.0926	-0.5635	-0.2623	-0.7127	0.646	3.6452	-3.5577	-0.5488	0.4238	-0.7888	0.0855	0.7679	2.2599	-0.273
BIRC2 |cIAP	-1.0995	0.1862	1.7141	0.2483	1.2519	0.306	-0.3437	0.1128	-0.3609	0.7774	0.2567	0.1765	-0.1876	1.3785	1.4105	0.8785	-1.136	-1.0095	0.4276	1.0541	0.6178	0.9773	-1.8859	-0.9271	0.2896	-0.0441	-0.6903	0.4019	-0.838	-1.5625	1.0224	0.6788	-1.8846	-0.3701	-0.8414	-1.5732	0.3998	-0.0902	0.75	3.3383	-1.1117	-0.9457	-0.6369	-0.5553	-0.075	-0.0173	-0.2419	-0.2267
CLDN7|Claudin-7	-1.0105	0.0677	1.5986	-0.9386	0.3099	0.7006	-0.2671	-0.0852	0.9041	-0.2799	0.7939	-1.0322	-0.7077	0.9403	-0.3328	-1.3524	0.3856	-1.3858	-0.4521	-0.6137	0.2706	-1.2174	0.71	-0.9956	-0.065	0.7688	0.7701	0.5363	-0.087	-1.149	2.4676	2.6222	-0.2274	-1.1118	-0.9278	0.5613	-0.1718	-0.2845	-0.0217	0.8446	-0.2264	-0.7258	-0.5808	3.1206	-0.3612	-1.0025	-0.1333	-0.6262
COL6A1|Collagen_VI	-1.3639	-1.5248	3.2406	0.4067	1.4145	0.7466	-0.2041	-1.0144	-0.2987	-0.846	1.0265	0.9741	-0.454	-0.5319	0.5383	-0.653	-0.4589	0.2597	-0.1422	-0.5882	0.0623	-0.9988	0.5046	0.6392	-0.3539	-0.502	0.0343	-0.9779	0.2568	0.6559	-0.8216	-1.5456	-0.8511	-0.0147	-0.0471	-0.0394	-0.9465	-1.1774	0.5712	2.8718	1.8824	0.0915	1.3036	-0.8997	-0.4285	-0.3486	0.5927	-0.0405
CCNB1|Cyclin_B1	-1.1044	0.7546	-0.2092	0.4902	0.2345	0.7592	-0.9566	-0.7805	-0.4747	-0.8886	0.5937	0.5003	0.4195	-2.4329	0.7526	-0.0024	1.6695	1.4786	-1.7253	-0.8552	-0.1714	0.1203	-0.7824	-0.0723	0.3227	1.7602	1.0981	1.1821	-1.2523	0.4375	-1.0098	1.1062	0.3283	-0.0273	0.8426	0.2355	-1.3424	0.5326	-1.1202	-1.9564	-0.2081	-0.4492	-1.3287	0.2795	1.7066	-0.3038	1.7893	0.0603
CCND1|Cyclin_D1	-0.7228	1.032	1.9004	-0.4729	0.2249	0.0637	0.3939	-0.38	-1.1109	0.8284	-1.8309	1.1312	1.3061	0.2834	-0.9313	-0.7568	-1.5869	-1.0207	-0.2537	1.1266	0.9412	-0.4978	0.7369	1.11	-1.0188	-0.4296	1.2973	-1.7037	0.1755	-0.7731	-0.6326	-0.771	-0.7301	0.7182	-1.2265	-0.4949	-0.8291	-0.1455	0.5988	1.9826	-0.1128	-0.0129	0.4699	-1.118	2.4767	1.1095	0.3316	-0.6757
CCNE1|Cyclin_E1	1.1653	1.1902	0.2407	-1.1288	0.1786	0.1032	-0.8059	-0.5356	-0.7248	0.313	-0.7933	1.4026	-1.362	-0.6409	0.1879	-0.8592	3.0441	-0.9865	0.7459	0.5891	1.0747	-0.7472	-0.7327	1.2175	0.6831	1.0668	1.5571	0.5258	-1.5998	0.1503	1.8678	0.0877	0.5107	-1.7409	-0.0837	0.656	-0.3967	0.3137	-0.3247	-0.196	-0.2821	-1.1212	0.1758	-1.0627	-0.0361	0.0448	-1.9503	-0.9813
PARK7|DJ-1	-0.3116	-1.012	2.6797	-0.6828	1.7803	0.3695	-0.6013	0.0736	-0.7374	0.1726	0.7202	0.7032	0.8578	-0.0631	1.5821	0.4317	-0.179	0.394	0.13	0.2098	0.5973	-0.4567	-0.5504	0.5893	-0.1672	-0.6022	2.0417	0.0158	-0.6549	0.2257	-0.6095	-0.4611	-1.258	-1.2632	0.7983	0.2377	0.5854	-0.8798	-0.9048	-3.2902	1.0849	0.4805	0.7908	-0.7083	0.6698	-0.0613	-1.3283	-1.439
